DIRECCION ACCIDENTE,CONDICION_VICTIMA,GRAVEDAD_ACCIDENTE,CLASE_ACCIDENTE,SEXO_VICTIMA,EDAD_VICTIMA,CANTIDAD_VICTIMA,FECHA,DIA_SEMANA,RANGO_EDAD
CL 94 CR 3A,Motociclista,herido,Choque,M,20,1,2019-01-07,Monday,18-30
CL 110 CR 9,Motociclista,herido,Choque,M,30,1,2019-01-08,Tuesday,18-30
CL 30 CR 24,Pasajero,herido,Choque,F,31,1,2019-01-08,Tuesday,31-45
CL 30 CR 24,Pasajero,herido,Choque,M,40,1,2019-01-08,Tuesday,31-45
CL 72 CR 36,Motociclista,herido,Choque,M,33,1,2019-01-08,Tuesday,31-45
CL 74 CR 41C,Acompa̱ante,herido,Choque,M,49,1,2019-01-08,Tuesday,46-60
CL 74 CR 41C,Motociclista,herido,Choque,M,30,1,2019-01-08,Tuesday,18-30
CL 84 CR 68,Acompa̱ante,herido,Choque,F,15,1,2019-01-08,Tuesday,<18
CL 84 CR 68,Motociclista,herido,Choque,M,44,1,2019-01-08,Tuesday,31-45
CL 86 CR 42G,Motociclista,herido,Choque,F,28,1,2019-01-08,Tuesday,18-30
CR 26C1 82 08,Acompa̱ante,herido,Choque,F,46,1,2019-01-08,Tuesday,46-60
CR 57 CL 85,Motociclista,herido,Choque,F,32,1,2019-01-08,Tuesday,31-45
CR 9 74 15,Acompa̱ante,herido,Choque,M,63,1,2019-01-08,Tuesday,60+
CR 9 74 15,Motociclista,herido,Choque,M,19,1,2019-01-08,Tuesday,18-30
CL 110 CR 46,Acompa̱ante,herido,Choque,M,20,1,2019-01-09,Wednesday,18-30
CL 90 CR 2 24,Motociclista,herido,Choque,M,20,1,2019-01-09,Wednesday,18-30
CL 90 CR 2 24,Motociclista,herido,Choque,M,40,1,2019-01-09,Wednesday,31-45
CR 27 CL 41,Motociclista,herido,Choque,M,36,1,2019-01-09,Wednesday,31-45
AV MURILLO ESTADIO METROPOLITANO,Peaton,herido,Atropello,M,8,1,2019-01-10,Thursday,<18
CL 30 29 101,Motociclista,herido,Choque,M,58,1,2019-01-10,Thursday,46-60
CL 110 CR 6,Conductor,herido,Choque,M,29,1,2019-01-11,Friday,18-30
CL 110 CR 6,Pasajero,herido,Choque,M,38,1,2019-01-11,Friday,31-45
CL 110 CR 6,Pasajero,herido,Choque,M,63,1,2019-01-11,Friday,60+
CL 29 CR 32,Ciclista,herido,Choque,M,31,1,2019-01-11,Friday,31-45
CL 29 CR 32,Motociclista,herido,Choque,M,15,1,2019-01-11,Friday,<18
AV CIRCUNVALAR CL 98,Motociclista,herido,Choque,M,35,1,2019-01-12,Saturday,31-45
AV CIRCUNVALAR CL 98,Pasajero,herido,Choque,F,22,1,2019-01-12,Saturday,18-30
CL 110 CR 6,Motociclista,herido,Choque,M,31,1,2019-01-12,Saturday,31-45
CL 30 CR 26,Motociclista,herido,Choque,M,26,1,2019-01-12,Saturday,18-30
CR 15 SUR 90B 116,Motociclista,herido,Choque,M,23,1,2019-01-12,Saturday,18-30
VIA GALAPA ENTRADA VILLA CORDIALIDAD,Motociclista,herido,Choque,M,48,1,2019-01-12,Saturday,46-60
VIA GALAPA ENTRADA VILLA CORDIALIDAD,Pasajero,herido,Choque,M,38,1,2019-01-12,Saturday,31-45
CR 1E CL 48,Peaton,herido,Atropello,M,27,1,2019-01-13,Sunday,18-30
CL 119 CR 10A 8,Peaton,herido,Choque,M,62,1,2019-01-13,Sunday,60+
CR 14 CL 54,Motociclista,herido,Choque,M,29,1,2019-01-13,Sunday,18-30
CR 44 CL 44,Ciclista,herido,Choque,M,29,1,2019-01-13,Sunday,18-30
AVENIDA CORDIALIDAD CR 19,Motociclista,herido,Otro,F,24,1,2019-01-13,Sunday,18-30
AV 110 CR 9G,Motociclista,herido,Choque,M,59,1,2019-01-14,Monday,46-60
AV CIRCUNVALAR ALTURA EUROPARK,Motociclista,herido,Choque,M,21,1,2019-01-14,Monday,18-30
CL 30 CR 4,Pasajero,herido,Choque,M,36,1,2019-01-14,Monday,31-45
CL 30 CR 4,Pasajero,herido,Choque,M,47,1,2019-01-14,Monday,46-60
CL 45 CR 11 SUR,Motociclista,herido,Choque,M,29,1,2019-01-14,Monday,18-30
CL 45 CR 11 SUR,Motociclista,herido,Choque,M,32,1,2019-01-14,Monday,31-45
CR 27 CL 61,Motociclista,herido,Choque,M,28,1,2019-01-14,Monday,18-30
VIA 40 CL 85,Motociclista,herido,Choque,M,31,1,2019-01-14,Monday,31-45
VIA 40 CON 77,Motociclista,herido,Choque,M,40,1,2019-01-14,Monday,31-45
CALLE 17 CRA 35,Motociclista,herido,Atropello,M,29,1,2019-01-15,Tuesday,18-30
CALLE 17 CRA 35,Peaton,herido,Atropello,M,55,1,2019-01-15,Tuesday,46-60
CL 19 CR 6,Peaton,herido,Atropello,F,25,1,2019-01-15,Tuesday,18-30
CRA 34 CALLE 141,Motociclista,herido,Atropello,M,21,1,2019-01-15,Tuesday,18-30
CRA 34 CALLE 141,Peaton,herido,Atropello,M,14,1,2019-01-15,Tuesday,<18
CL 80 CR 70,Acompa̱ante,herido,Choque,M,39,1,2019-01-15,Tuesday,31-45
CL 80 CR 70,Conductor,herido,Choque,M,60,1,2019-01-15,Tuesday,46-60
CL 81 CR 72,Ciclista,herido,Choque,M,77,1,2019-01-15,Tuesday,60+
CR 50 CL 64,Ciclista,herido,Choque,F,25,1,2019-01-15,Tuesday,18-30
CR 50 CL 64,Motociclista,herido,Choque,M,19,1,2019-01-15,Tuesday,18-30
CL 54 45 11,Motociclista,herido,Choque,M,51,1,2019-01-16,Wednesday,46-60
CR 51B CL 106,Motociclista,herido,Choque,M,59,1,2019-01-16,Wednesday,46-60
CR 8 CL 38B,Pasajero,herido,Choque,M,40,1,2019-01-16,Wednesday,31-45
CRA 5F CALLE 76,Motociclista,herido,Choque,M,41,1,2019-01-16,Wednesday,31-45
CRA 5F CALLE 76,Pasajero,herido,Choque,F,24,1,2019-01-16,Wednesday,18-30
CL 110 CR 38,Motociclista,herido,Otro,M,32,1,2019-01-16,Wednesday,31-45
CL 61 CR 27,Peaton,herido,Atropello,M,53,1,2019-01-17,Thursday,46-60
CR 40 41 57,Peaton,herido,Atropello,M,39,1,2019-01-17,Thursday,31-45
CL 26 CR 12,Motociclista,herido,Choque,M,29,1,2019-01-17,Thursday,18-30
CL 48 CR 41 Y 43,Acompa̱ante,herido,Choque,M,30,1,2019-01-17,Thursday,18-30
CR 51B CL 92,Conductor,herido,Choque,M,21,1,2019-01-17,Thursday,18-30
CL 97 CR 8G,Peaton,herido,Atropello,M,6,1,2019-01-18,Friday,<18
CL 45 CR 37,Peaton,herido,Atropello,M,36,1,2019-01-19,Saturday,31-45
AV CIRCUNVALAR CL 98,Conductor,herido,Choque,M,41,1,2019-01-19,Saturday,31-45
AV CIRCUNVALAR CL 98,Motociclista,herido,Choque,M,33,1,2019-01-19,Saturday,31-45
CALLE 20 CRA 30,Ciclista,herido,Choque,M,18,1,2019-01-19,Saturday,18-30
CL 30 CR 1B,Acompa̱ante,herido,Choque,M,39,1,2019-01-19,Saturday,31-45
CR 10 5 18,Acompa̱ante,herido,Choque,M,40,1,2019-01-19,Saturday,31-45
CR 10 5 18,Motociclista,herido,Choque,M,33,1,2019-01-19,Saturday,31-45
CR 387CL 84B,Motociclista,herido,Choque,M,32,1,2019-01-19,Saturday,31-45
CR 387CL 84B,Pasajero,herido,Choque,M,30,1,2019-01-19,Saturday,18-30
CR 387CL 84B,Pasajero,herido,Choque,M,34,1,2019-01-19,Saturday,31-45
CRA 23 CALLE 61,Acompa̱ante,herido,Choque,F,66,1,2019-01-19,Saturday,60+
CRA 23 CALLE 61,Motociclista,herido,Choque,M,43,1,2019-01-19,Saturday,31-45
CRA 32 CALLE 58,Acompa̱ante,herido,Choque,F,9,1,2019-01-19,Saturday,<18
CRA 32 CALLE 58,Acompa̱ante,herido,Choque,F,25,1,2019-01-19,Saturday,18-30
CALLE 45 CRA 33,Motociclista,herido,Choque,M,28,1,2019-01-20,Sunday,18-30
CL 24 CR 12,Motociclista,herido,Choque,M,39,1,2019-01-20,Sunday,31-45
CL 69 CR 44,Motociclista,herido,Choque,M,25,1,2019-01-20,Sunday,18-30
CR 27 CL 110,Motociclista,herido,Choque,M,48,1,2019-01-20,Sunday,46-60
CR 27 CL 110,Pasajero,herido,Choque,F,44,1,2019-01-20,Sunday,31-45
CR 8 CL 98,Motociclista,herido,Choque,M,27,1,2019-01-20,Sunday,18-30
DIAG 88 CR 5E 16,Motociclista,herido,Choque,M,42,1,2019-01-20,Sunday,31-45
CL 45 CR 31,Peaton,herido,Atropello,M,40,1,2019-01-21,Monday,31-45
CL 21 14 40,Motociclista,herido,Choque,M,58,1,2019-01-21,Monday,46-60
CL 21 14 40,Pasajero,herido,Choque,M,33,1,2019-01-21,Monday,31-45
CL 46 6C SUR 90,Acompa̱ante,herido,Choque,F,41,1,2019-01-21,Monday,31-45
CL 46 6C SUR 90,Motociclista,herido,Choque,M,41,1,2019-01-21,Monday,31-45
CL 68 CR 39B,Acompa̱ante,herido,Choque,M,5,1,2019-01-21,Monday,<18
CL 88 CR 73,Motociclista,herido,Choque,M,47,1,2019-01-21,Monday,46-60
CR 14 CL 63,Ciclista,herido,Choque,M,19,1,2019-01-21,Monday,18-30
CR 14 CL 63,Conductor,herido,Choque,F,29,1,2019-01-21,Monday,18-30
CR 14 CL 63,Pasajero,herido,Choque,M,18,1,2019-01-21,Monday,18-30
CR 7H CL 41,Acompa̱ante,herido,Choque,M,10,1,2019-01-21,Monday,<18
CL 17 CR 32,Motociclista,herido,Choque,M,58,1,2019-01-22,Tuesday,46-60
CL 30 CR 4B,Acompa̱ante,herido,Choque,M,27,1,2019-01-22,Tuesday,18-30
CL 30 CR 4B,Motociclista,herido,Choque,M,30,1,2019-01-22,Tuesday,18-30
CR 22 CL 53,Motociclista,herido,Choque,M,27,1,2019-01-22,Tuesday,18-30
CR 22 CL 53,Pasajero,herido,Choque,M,61,1,2019-01-22,Tuesday,60+
CR 38 48 53,Motociclista,herido,Choque,M,58,1,2019-01-22,Tuesday,46-60
CR 43 CL 65B,Motociclista,herido,Choque,M,45,1,2019-01-22,Tuesday,31-45
CR 59 CL 70,Motociclista,herido,Choque,M,30,1,2019-01-22,Tuesday,18-30
CL 53 45 46,Peaton,herido,Atropello,M,72,1,2019-01-23,Wednesday,60+
CR 38 CL 84,Peaton,herido,Atropello,M,35,1,2019-01-23,Wednesday,31-45
CL 49 CR 2F,Ciclista,herido,Choque,M,48,1,2019-01-23,Wednesday,46-60
CL 61 CR 23,Motociclista,herido,Choque,M,61,1,2019-01-23,Wednesday,60+
CL 74 CR 41C,Acompa̱ante,herido,Choque,M,24,1,2019-01-23,Wednesday,18-30
CL 74 CR 41C,Motociclista,herido,Choque,M,30,1,2019-01-23,Wednesday,18-30
CL 75 CR 68,Conductor,herido,Choque,M,28,1,2019-01-23,Wednesday,18-30
CL 76 CR 62,Acompa̱ante,herido,Choque,F,22,1,2019-01-23,Wednesday,18-30
CL 76 CR 62,Motociclista,herido,Choque,F,21,1,2019-01-23,Wednesday,18-30
CL 78 CR 21,Acompa̱ante,herido,Choque,M,34,1,2019-01-23,Wednesday,31-45
CL 110 CR 31,Pasajero,herido,Choque,M,7,1,2019-01-24,Thursday,<18
CL 30 CR 23,Pasajero,herido,Choque,M,47,1,2019-01-24,Thursday,46-60
CL 54 CR 42,Motociclista,herido,Choque,M,49,1,2019-01-24,Thursday,46-60
CL 30 CR 21,Acompa̱ante,herido,Choque,M,71,1,2019-01-25,Friday,60+
CL 45 CR 1,Pasajero,herido,Choque,M,55,1,2019-01-25,Friday,46-60
CL 45 CR 5B,Pasajero,herido,Choque,M,19,1,2019-01-25,Friday,18-30
CL 45 CR 5B,Pasajero,herido,Choque,M,24,1,2019-01-25,Friday,18-30
CL 72 CR 61,Motociclista,herido,Choque,M,23,1,2019-01-25,Friday,18-30
AV CIRCUNVALAR CR 55,Motociclista,herido,Atropello,M,53,1,2019-01-26,Saturday,46-60
AV CIRCUNVALAR CR 55,Pasajero,herido,Atropello,M,53,1,2019-01-26,Saturday,46-60
CR 14 CL 53D,Peaton,herido,Atropello,M,72,1,2019-01-26,Saturday,60+
CR 44 CL 68,Pasajero,herido,Choque,F,23,1,2019-01-26,Saturday,18-30
AV CORDIALIDAD CL 98 Y 99,Peaton,muerto,Atropello,M,39,1,2019-01-27,Sunday,31-45
CL 45 41 12,Ciclista,herido,Choque,M,79,1,2019-01-27,Sunday,60+
CL 45G CR 15 SUR,Acompa̱ante,herido,Choque,M,24,1,2019-01-27,Sunday,18-30
CR 58 CL 76,Pasajero,herido,Choque,M,55,1,2019-01-27,Sunday,46-60
CL 100 CR 55,Peaton,herido,Atropello,M,21,1,2019-01-28,Monday,18-30
CR 38 CL 30,Peaton,herido,Atropello,M,35,1,2019-01-28,Monday,31-45
CL 93 CR 46,Conductor,herido,Choque,M,60,1,2019-01-28,Monday,46-60
CL 93 CR 46,Pasajero,herido,Choque,F,62,1,2019-01-28,Monday,60+
CR 12 CL 24,Motociclista,herido,Choque,M,55,1,2019-01-28,Monday,46-60
CR 21 CL 44,Motociclista,herido,Choque,M,34,1,2019-01-28,Monday,31-45
CR 50 CL 86,Pasajero,herido,Choque,F,69,1,2019-01-28,Monday,60+
AV CIRCUNVALAR CR 8E,Peaton,herido,Atropello,M,21,1,2019-01-29,Tuesday,18-30
CL 30,Pasajero,herido,Caida Ocupante,M,67,1,2019-01-29,Tuesday,60+
CL 48 CR 7A,Motociclista,herido,Choque,M,41,1,2019-01-29,Tuesday,31-45
CL 50 CR 10B,Acompa̱ante,herido,Choque,M,29,1,2019-01-29,Tuesday,18-30
CL 50 CR 10B,Motociclista,herido,Choque,M,33,1,2019-01-29,Tuesday,31-45
CL 75 CR 59,Conductor,herido,Choque,M,34,1,2019-01-29,Tuesday,31-45
CL 75 CR 59,Pasajero,herido,Choque,F,34,1,2019-01-29,Tuesday,31-45
CL 75 CR 59,Pasajero,herido,Choque,F,52,1,2019-01-29,Tuesday,46-60
CL 85 CR 45,Motociclista,herido,Choque,M,33,1,2019-01-29,Tuesday,31-45
AV CIRCUNVALAR CR 9G,Motociclista,herido,Choque,F,31,1,2019-01-30,Wednesday,31-45
CL 110 CR 13,Motociclista,herido,Choque,M,14,1,2019-01-30,Wednesday,<18
CL 45 CR 14,Motociclista,herido,Choque,M,51,1,2019-01-30,Wednesday,46-60
CL 45 CR 14,Pasajero,herido,Choque,M,44,1,2019-01-30,Wednesday,31-45
CR 55 CL 105,Motociclista,herido,Choque,M,39,1,2019-01-30,Wednesday,31-45
AV CIRCUNVALAR CR 6C,Motociclista,herido,Choque,M,45,1,2019-01-31,Thursday,31-45
CL 64 CR 58,Pasajero,herido,Choque,F,32,1,2019-01-31,Thursday,31-45
CR 6 AV CIRCUNVALAR,Pasajero,herido,Choque,F,56,1,2019-01-31,Thursday,46-60
CR 70 CL 74A,Motociclista,herido,Choque,M,32,1,2019-01-31,Thursday,31-45
CL 45 CR 30,Motociclista,herido,Choque,M,30,1,2019-02-01,Friday,18-30
CL 8 41 43,Motociclista,herido,Choque,M,33,1,2019-02-01,Friday,31-45
CR 15 SUR 78 123,Motociclista,herido,Choque,M,39,1,2019-02-01,Friday,31-45
CR 33 CL 43,Motociclista,herido,Choque,M,22,1,2019-02-01,Friday,18-30
VIA 40 CL 80,Motociclista,herido,Choque,F,24,1,2019-02-01,Friday,18-30
CR 11 CL 35,Acompa̱ante,herido,Otro,M,33,1,2019-02-01,Friday,31-45
CL 110 CR 9G,Ciclista,herido,Choque,M,38,1,2019-02-02,Saturday,31-45
CL 17 CR 24,Motociclista,herido,Choque,M,28,1,2019-02-02,Saturday,18-30
CL 79 CR 42,Motociclista,herido,Choque,M,22,1,2019-02-02,Saturday,18-30
CR 38 CL 54,Motociclista,herido,Choque,M,37,1,2019-02-02,Saturday,31-45
CR 79 CL 85,Motociclista,herido,Choque,M,39,1,2019-02-02,Saturday,31-45
CL 51 CR 21B,Motociclista,herido,Choque,M,38,1,2019-02-03,Sunday,31-45
CL 51 CR 21B,Motociclista,herido,Choque,M,43,1,2019-02-03,Sunday,31-45
CR 37 CL 111,Motociclista,muerto,Choque,M,51,1,2019-02-03,Sunday,46-60
CR 7 CL 46,Acompa̱ante,herido,Choque,M,18,1,2019-02-03,Sunday,18-30
CR 7 CL 46,Motociclista,herido,Choque,M,25,1,2019-02-03,Sunday,18-30
CR 7 CL 46,Pasajero,herido,Choque,F,24,1,2019-02-03,Sunday,18-30
CL 42 43 38,Peaton,herido,Atropello,M,40,1,2019-02-04,Monday,31-45
CL 64B CR 14,Peaton,herido,Atropello,M,47,1,2019-02-04,Monday,46-60
CL 26 CR 19,Motociclista,herido,Choque,M,33,1,2019-02-04,Monday,31-45
CL 45 AV CIRCUNVALAR,Acompa̱ante,herido,Choque,M,13,1,2019-02-04,Monday,<18
CL 45 AV CIRCUNVALAR,Motociclista,herido,Choque,M,34,1,2019-02-04,Monday,31-45
CL 51B CR 1B 29,Motociclista,herido,Choque,M,21,1,2019-02-04,Monday,18-30
CL 51B CR 1B 29,Motociclista,herido,Choque,M,43,1,2019-02-04,Monday,31-45
CL 51B CR 1B 29,Pasajero,herido,Choque,M,42,1,2019-02-04,Monday,31-45
CL 81 CR 67,Motociclista,herido,Choque,M,25,1,2019-02-04,Monday,18-30
CL 83 CR 42B1,Motociclista,herido,Choque,M,39,1,2019-02-04,Monday,31-45
CR 27 CL 85,Motociclista,herido,Atropello,F,44,1,2019-02-05,Tuesday,31-45
CR 27 CL 85,Peaton,herido,Atropello,F,16,1,2019-02-05,Tuesday,<18
CR 59 CL 85,Motociclista,herido,Choque,M,35,1,2019-02-05,Tuesday,31-45
CL 6 CR 8,Ciclista,herido,Choque,M,21,1,2019-02-06,Wednesday,18-30
CL 82 CR 59,Motociclista,herido,Choque,M,44,1,2019-02-06,Wednesday,31-45
CR 20 CL 38C,Pasajero,herido,Choque,F,46,1,2019-02-06,Wednesday,46-60
CR 20 CL 47,Motociclista,herido,Choque,F,28,1,2019-02-06,Wednesday,18-30
CR 42 CL 78B 191,Peaton,herido,Atropello,M,5,1,2019-02-07,Thursday,<18
CL 74 CR 55,Motociclista,herido,Choque,M,23,1,2019-02-07,Thursday,18-30
CR 13 CL 94,Motociclista,herido,Choque,M,32,1,2019-02-07,Thursday,31-45
CR 13 CL 94,Pasajero,herido,Choque,M,23,1,2019-02-07,Thursday,18-30
CR 46 CL 64,Peaton,herido,Atropello,M,4,1,2019-02-08,Friday,<18
CR 46 CL 64,Peaton,herido,Atropello,M,22,1,2019-02-08,Friday,18-30
CR 51B CL 75,Peaton,herido,Atropello,M,79,1,2019-02-08,Friday,60+
AV CIRCUNVALAR CL 51B,Pasajero,herido,Choque,M,51,1,2019-02-08,Friday,46-60
CL 17 32A 34,Motociclista,herido,Choque,M,26,1,2019-02-08,Friday,18-30
CL 17 32A 34,Pasajero,herido,Choque,M,26,1,2019-02-08,Friday,18-30
CL 47 CR 21B,Motociclista,herido,Choque,F,37,1,2019-02-08,Friday,31-45
CL 72C CR 27,Motociclista,herido,Choque,M,22,1,2019-02-08,Friday,18-30
CL 75 CR 47,Pasajero,herido,Choque,F,46,1,2019-02-08,Friday,46-60
CL 76 CR 41D,Acompa̱ante,herido,Choque,M,41,1,2019-02-08,Friday,31-45
CL 76 CR 41D,Motociclista,herido,Choque,M,51,1,2019-02-08,Friday,46-60
CR 43B CL 82 170,Motociclista,herido,Choque,M,36,1,2019-02-08,Friday,31-45
CR 58 CL 85,Motociclista,herido,Choque,M,49,1,2019-02-08,Friday,46-60
CR 65 CL 96,Acompa̱ante,herido,Choque,F,64,1,2019-02-08,Friday,60+
CR 65 CL 96,Conductor,herido,Choque,F,43,1,2019-02-08,Friday,31-45
CL 63C CR 19,Pasajero,herido,Caida Ocupante,M,57,1,2019-02-09,Saturday,46-60
CR 23 CL 64,Motociclista,herido,Choque,M,24,1,2019-02-09,Saturday,18-30
CR 42 CL 83,Pasajero,herido,Choque,M,13,1,2019-02-09,Saturday,<18
CR 42 CL 83,Pasajero,herido,Choque,M,38,1,2019-02-09,Saturday,31-45
CL 117 CR 22,Peaton,herido,Atropello,M,9,1,2019-02-10,Sunday,<18
CR 46 CL 72,Peaton,herido,Atropello,M,39,1,2019-02-10,Sunday,31-45
CL 68 CR 9 SUR,Motociclista,herido,Choque,M,25,1,2019-02-10,Sunday,18-30
CL 68 CR 9 SUR,Pasajero,herido,Choque,M,14,1,2019-02-10,Sunday,<18
CL 92 CR 2D,Motociclista,herido,Choque,M,39,1,2019-02-10,Sunday,31-45
CL 99 CR 10,Acompa̱ante,herido,Choque,M,27,1,2019-02-10,Sunday,18-30
CL 99 CR 10,Motociclista,herido,Choque,M,23,1,2019-02-10,Sunday,18-30
CL 99 CR 10,Motociclista,muerto,Choque,M,26,1,2019-02-10,Sunday,18-30
CR 38 CL 81,Motociclista,herido,Choque,M,23,1,2019-02-10,Sunday,18-30
CR 8 CL 45B,Acompa̱ante,herido,Choque,M,1,1,2019-02-10,Sunday,<18
CR 8 CL 45B,Acompa̱ante,herido,Choque,M,33,1,2019-02-10,Sunday,31-45
CL 110 CR 9G,Peaton,herido,Atropello,F,31,1,2019-02-11,Monday,31-45
CL 110 CR 38 Y 46,Conductor,herido,Choque,M,42,1,2019-02-11,Monday,31-45
CR 13 CL 23,Pasajero,herido,Choque,M,25,1,2019-02-11,Monday,18-30
AV CIRCUNVALAR CR 7 SUR,Motociclista,herido,Choque,M,21,1,2019-02-12,Tuesday,18-30
CALLE 23 CRA 4B,Motociclista,herido,Choque,M,38,1,2019-02-12,Tuesday,31-45
CL 68 CR 39B,Motociclista,herido,Choque,M,46,1,2019-02-12,Tuesday,46-60
CL 68 CR 39B,Pasajero,herido,Choque,M,21,1,2019-02-12,Tuesday,18-30
AV CIRCUNVALAR CR 38B,Motociclista,herido,Choque,M,21,1,2019-02-13,Wednesday,18-30
CL 80B CR 42B,Motociclista,herido,Choque,M,28,1,2019-02-13,Wednesday,18-30
CL 86 CR 50,Motociclista,herido,Choque,M,33,1,2019-02-13,Wednesday,31-45
CR 42H CL 80,Motociclista,herido,Choque,M,34,1,2019-02-13,Wednesday,31-45
CL 115 CR 11 Y 12,Acompa̱ante,herido,Volcamiento,M,29,1,2019-02-14,Thursday,18-30
CL 68 CR 42,Motociclista,herido,Choque,M,28,1,2019-02-15,Friday,18-30
CL 76 CR 41D,Motociclista,herido,Choque,M,22,1,2019-02-15,Friday,18-30
CR 43 CL 79B,Motociclista,herido,Choque,M,52,1,2019-02-15,Friday,46-60
VIA 40 CL 51,Conductor,herido,Choque,M,33,1,2019-02-15,Friday,31-45
CL 42 CR 45,Pasajero,herido,Choque,M,26,1,2019-02-16,Saturday,18-30
CR 59B CL 91,Acompa̱ante,herido,Choque,M,33,1,2019-02-16,Saturday,31-45
CR 59B CL 91,Motociclista,herido,Choque,M,34,1,2019-02-16,Saturday,31-45
CL 106 CR 52,Conductor,herido,Choque,M,18,1,2019-02-17,Sunday,18-30
CL 87 CR 51B,Motociclista,herido,Choque,M,37,1,2019-02-17,Sunday,31-45
CR 38 CL 110,Pasajero,herido,Choque,M,5,1,2019-02-17,Sunday,<18
CR 42H CL 84,Pasajero,herido,Choque,F,48,1,2019-02-17,Sunday,46-60
CR 47 CL 59,Motociclista,herido,Choque,M,31,1,2019-02-17,Sunday,31-45
CR 6 SUR CL 48D,Conductor,herido,Choque,M,24,1,2019-02-17,Sunday,18-30
CL 30 CR 32,Peaton,herido,Atropello,M,68,1,2019-02-18,Monday,60+
CL 44 CR 29,Peaton,herido,Atropello,M,68,1,2019-02-18,Monday,60+
CL 30 CR 3E,Motociclista,herido,Choque,M,32,1,2019-02-18,Monday,31-45
CL 30 CR 6,Pasajero,herido,Choque,M,23,1,2019-02-18,Monday,18-30
CL 30 CR 6,Pasajero,herido,Choque,M,31,1,2019-02-18,Monday,31-45
CL 30 CR 6,Pasajero,herido,Choque,M,39,1,2019-02-18,Monday,31-45
CL 30 CR 6,Pasajero,herido,Choque,M,48,1,2019-02-18,Monday,46-60
CL 30 CR 6,Pasajero,herido,Choque,M,67,1,2019-02-18,Monday,60+
CL 64 CR 54,Pasajero,herido,Choque,F,54,1,2019-02-18,Monday,46-60
CL 64 CR 54,Pasajero,herido,Choque,M,22,1,2019-02-18,Monday,18-30
CL 64 CR 54,Pasajero,herido,Choque,M,39,1,2019-02-18,Monday,31-45
CL 64 CR 54,Pasajero,herido,Choque,M,63,1,2019-02-18,Monday,60+
CR 10DG 19 52,Motociclista,muerto,Choque,M,20,1,2019-02-18,Monday,18-30
CR 96 CL 99,Acompa̱ante,herido,Choque,M,21,1,2019-02-18,Monday,18-30
DIAG 13G 9F2 19,Motociclista,herido,Choque,M,28,1,2019-02-18,Monday,18-30
CR 23 CL 53D,Motociclista,herido,Choque,M,24,1,2019-02-19,Tuesday,18-30
CR 23 CL 53D,Pasajero,herido,Choque,M,40,1,2019-02-19,Tuesday,31-45
CR 55 CL 100,Acompa̱ante,herido,Choque,M,24,1,2019-02-19,Tuesday,18-30
CL 42 CR 43,Peaton,herido,Atropello,M,44,1,2019-02-20,Wednesday,31-45
CL 54 CR 53,Motociclista,herido,Choque,F,89,1,2019-02-20,Wednesday,60+
CR 23C CL 70C,Pasajero,herido,Choque,F,40,1,2019-02-20,Wednesday,31-45
CR 44 CL 68,Pasajero,herido,Choque,M,29,1,2019-02-20,Wednesday,18-30
AV CIRCUNVALAR CR 51B,Conductor,herido,Choque,F,40,1,2019-02-21,Thursday,31-45
AV MALECON CL 78,Acompa̱ante,herido,Choque,M,40,1,2019-02-21,Thursday,31-45
AV MALECON CL 78,Conductor,herido,Choque,M,22,1,2019-02-21,Thursday,18-30
CL 47 CR 38,Peaton,herido,Choque,M,39,1,2019-02-21,Thursday,31-45
CL 76 CR 45,Conductor,herido,Choque,M,55,1,2019-02-21,Thursday,46-60
CL 87 CR 43,Motociclista,herido,Choque,M,38,1,2019-02-21,Thursday,31-45
CR 38 CL 69C,Pasajero,herido,Choque,M,73,1,2019-02-21,Thursday,60+
CL 45 CR 6 SUR,Acompa̱ante,herido,Volcamiento,M,32,1,2019-02-21,Thursday,31-45
CL 45 CR 6 SUR,Motociclista,herido,Volcamiento,M,28,1,2019-02-21,Thursday,18-30
CR 34 C 72 163,Peaton,herido,Atropello,M,25,1,2019-02-22,Friday,18-30
CR 42F CL 75,Motociclista,herido,Choque,M,29,1,2019-02-22,Friday,18-30
VIA 40 CL 76,Motociclista,herido,Choque,M,24,1,2019-02-22,Friday,18-30
CL 76 CR 42F,Peaton,herido,Atropello,M,20,1,2019-02-23,Saturday,18-30
AV CIRCUNVALAR FRENTE METROPARQUE,Motociclista,herido,Choque,M,22,1,2019-02-23,Saturday,18-30
AV CIRCUNVALAR FRENTE METROPARQUE,Pasajero,herido,Choque,M,20,1,2019-02-23,Saturday,18-30
CR 38 CL 36,Pasajero,herido,Atropello,M,39,1,2019-02-24,Sunday,31-45
AV CORDIALIDAD CON 10,Motociclista,herido,Choque,M,26,1,2019-02-24,Sunday,18-30
CL 46 CR 7B,Acompa̱ante,herido,Choque,M,65,1,2019-02-24,Sunday,60+
CL 46 CR 7B,Motociclista,herido,Choque,M,40,1,2019-02-24,Sunday,31-45
CL 86 26 21,Motociclista,herido,Choque,F,18,1,2019-02-24,Sunday,18-30
CORDIALIDAD KM 6,Motociclista,herido,Choque,M,40,1,2019-02-24,Sunday,31-45
